time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(%);memory-usage-total(%);disk-io-utilization(B/s)
1591807667063;34.65;53.3;211623936;77.6;19715127.41
1591807668860;32.175;55.1;212230144;77.5;28030781.1
1591807670964;39.125;53.7;215564288;77.7;29725553.58
1591807672776;31.675;48.3;211894272;77.6;19195770.87
1591807674746;38.375;55.5;212582400;77.8;4993585.44
1591807676537;31.75;56.8;212799488;78.9;62817375.72
1591807678281;32.4;54.0;214798336;78.9;29949516.36
1591807680111;31.775;50.9;214802432;78.8;1646523.5
1591807681813;38.225;58.3;215044096;79.1;14032132.29
1591807683632;31.875;50.6;216178688;79.0;11065262.72
1591807685438;38.025;61.0;205176832;78.8;5342070.48
1591807687243;37.175;61.6;207028224;77.8;34537258.12
1591807689289;35.775;54.3;208220160;78.0;6884344.74
1591807691085;32.05;47.4;209276928;78.0;28643485.41
1591807692856;30.425;47.9;209408000;78.0;15182450.68
1591807694553;36.5;54.5;209825792;78.2;10304727.38
1591807696344;34.625;53.5;205844480;78.2;1872347.01
1591807698184;40.575;59.7;204718080;78.3;43943870.0
1591807699955;36.85;57.6;203993088;78.3;13329707.06
1591807701764;33.425;57.5;204681216;78.3;7253848.67
1591807703708;37.7;56.5;205475840;78.5;32574508.39
1591807705476;32.4;51.4;195170304;78.4;15959737.61
1591807707598;38.475;54.3;195325952;78.4;5217870.66
1591807709371;31.8;49.1;196653056;78.3;19054767.84
1591807711329;39.175;55.0;197394432;78.3;10467482.85
1591807713116;33.6;52.5;203612160;78.4;32604839.43
1591807714923;31.525;52.1;211582976;78.3;40634884.07
1591807716773;33.7;56.0;219856896;78.5;25767267.09
1591807718578;32.15;52.6;204419072;78.4;27703887.54
1591807720316;34.775;56.6;204754944;78.3;9953006.04
1591807722277;35.05;53.9;205279232;78.4;1883659.14
1591807724136;34.2;50.7;207167488;78.5;15857546.46
1591807726037;34.85;59.6;207269888;78.5;60227370.78
1591807728139;33.6;67.7;200491008;78.4;18926403.23
1591807730031;30.4;47.0;200765440;78.3;8149823.46
1591807731738;33.075;48.6;201265152;78.4;11347515.46
1591807733653;30.0;46.6;201850880;78.5;11289633.29
1591807735465;30.75;51.6;204681216;78.6;14452438.33
1591807737256;40.925;60.8;201547776;78.6;1609595.53
1591807739490;33.7;52.4;202948608;78.8;14861940.65
1591807741418;27.975;47.7;205557760;78.7;14743290.04
1591807743245;33.75;51.7;205852672;78.6;34689753.55
1591807745030;29.925;50.8;206286848;78.6;13784834.93
1591807746860;36.625;53.6;206962688;78.5;1646790.6
1591807748973;35.675;55.3;199299072;78.5;30366264.68
1591807750754;31.625;46.6;201854976;78.3;5943947.68
1591807752422;38.175;55.9;202244096;78.4;5104578.3
1591807754352;33.025;49.5;202543104;78.5;27469012.59
1591807756183;32.85;54.1;202723328;78.4;13483163.23
1591807758187;36.975;60.0;206577664;78.5;10323325.52
1591807760114;37.1;53.9;203685888;78.4;39585753.03
1591807761884;31.65;50.0;202145792;78.4;2231442.82
1591807763700;36.5;53.5;205905920;78.4;11936927.74
1591807765567;37.5;58.3;206028800;78.6;41227615.12
1591807767419;27.3;46.1;200728576;78.5;7187579.91
1591807769264;35.6;58.0;194441216;78.2;39314819.71
1591807771266;27.75;49.4;194777088;77.9;22569792.24
1591807773080;32.425;52.3;194871296;78.0;20250413.04
1591807774873;34.925;58.9;191414272;77.8;12808709.12
1591807776867;34.775;51.8;191500288;77.9;20589308.8
1591807778627;32.225;47.7;192733184;77.8;18137684.98
1591807780400;31.625;49.7;192815104;77.8;39717103.36
1591807782324;30.775;52.1;193601536;77.7;12119671.64
1591807784093;34.75;57.5;194355200;77.6;10809518.74
1591807785885;35.175;54.3;193908736;77.6;11126384.76
1591807787700;34.125;51.0;194035712;77.8;14347746.03
1591807789895;31.05;50.7;194113536;77.9;13489047.65
1591807791688;31.375;51.6;190586880;77.7;33598599.29
1591807793523;32.65;50.8;192131072;77.7;20713964.37
1591807795349;34.325;51.0;192278528;77.8;17981307.05
1591807797309;36.725;56.1;193101824;77.7;14693878.04
1591807799094;33.0;50.8;195141632;77.6;28845165.6
1591807800917;36.4;56.7;194052096;77.6;6139085.05
1591807802734;38.475;61.8;194400256;77.8;6845972.83
1591807804677;35.125;53.7;195604480;77.8;26825905.29
1591807806491;33.8;51.6;194740224;77.6;11836471.92
1591807808446;36.875;58.3;189231104;77.7;10105732.28
1591807810243;31.6;48.4;191565824;77.7;31200148.07
1591807812056;33.9;51.1;191643648;77.7;4542240.16
1591807813847;38.775;55.0;191766528;77.8;9183130.97
1591807815675;41.725;61.1;191262720;77.9;45296978.14
1591807817395;35.675;56.7;190828544;77.9;13997369.36
1591807819222;30.475;48.6;191148032;77.8;25513108.9
1591807820988;33.75;53.9;191873024;77.8;8524078.23
1591807822986;37.85;55.9;192761856;77.9;7048328.78
1591807824757;35.55;51.7;194813952;77.8;21548669.4
1591807826582;33.4;53.8;194932736;77.6;7754045.14
1591807828491;35.25;55.4;196333568;77.8;3617588.69
1591807830454;35.65;53.0;196526080;77.8;17376084.2
1591807832263;30.6;47.0;194473984;77.8;31914467.76
1591807834153;33.6;51.9;192831488;77.7;1899061.97
1591807836072;35.75;53.6;190836736;77.8;17363407.77
1591807837857;32.1;48.9;192249856;77.7;16600445.32
1591807839755;32.65;49.7;193138688;77.8;10738221.35
1591807841532;37.925;56.3;191201280;77.7;25971448.42
1591807843319;34.975;52.7;193912832;77.8;12574652.53
1591807845557;37.4;54.2;193978368;77.9;12829494.28
1591807847366;26.575;44.0;194019328;77.8;28292813.67
1591807849168;33.425;55.0;192925696;77.8;1822203.22
1591807851260;33.05;51.4;192106496;78.0;8165647.93
1591807853061;34.5;52.0;176201728;77.7;2438104.26
1591807855134;36.3;54.0;176717824;77.9;10349590.28
1591807856910;31.2;49.3;175976448;77.7;11952425.86
1591807858825;31.575;47.1;176218112;77.8;11720135.42
1591807860627;36.675;56.3;174891008;77.7;27213757.18
1591807862446;30.6;50.2;175566848;77.7;6328570.09
1591807864223;37.95;62.9;178987008;77.8;2884727.18
1591807866265;39.9;60.3;179200000;77.8;25465331.46
1591807868042;26.55;43.4;179580928;77.6;4314778.9
1591807869944;37.075;55.3;184963072;77.7;13385566.69
1591807871759;33.2;49.3;179736576;77.6;25251837.93
1591807873566;38.35;54.3;181170176;77.7;1887991.11
1591807875563;37.95;56.2;182587392;77.7;17180407.42
1591807877516;32.275;51.3;185032704;77.5;17712457.46
1591807879311;31.0;52.8;185114624;77.5;15486310.43
1591807881253;34.125;53.4;185253888;77.6;11141133.4
1591807883044;31.0;52.9;185634816;77.7;21457950.82
1591807884873;34.225;50.4;182775808;77.6;19254878.84
1591807886686;30.775;51.1;182902784;77.7;16042165.61
1591807888928;32.975;52.8;184410112;77.8;19447020.57
1591807890713;27.25;40.9;185843712;77.8;14596331.15
1591807892519;37.275;53.9;183910400;77.7;33469423.67
1591807894348;28.45;47.4;184373248;77.7;27952663.29
1591807896158;33.75;52.1;185925632;77.7;18468564.74
1591807897956;36.0;53.6;182824960;77.7;15608370.45
1591807899821;25.65;43.2;182579200;77.7;14557806.55
1591807901687;31.725;52.0;185110528;77.5;20077358.34
1591807903464;26.875;44.6;185769984;77.6;12794829.12
1591807905301;36.625;53.1;191123456;77.7;17294660.35
1591807907093;30.725;51.5;198430720;77.7;8190267.91
1591807908969;37.275;55.6;205979648;78.0;2118844.71
1591807911010;37.7;61.8;192315392;78.0;46910329.74
1591807912803;25.0;43.7;192679936;77.9;11803596.14
1591807914620;32.825;51.3;190836736;78.0;19534533.5
1591807916582;30.4;51.2;192962560;77.9;25011700.9
1591807918393;36.5;53.6;193429504;77.9;5709521.54
1591807920273;38.6;56.1;188674048;77.9;11983363.41
1591807922179;32.075;49.5;191373312;77.8;24860676.49
1591807923996;31.125;51.9;191561728;77.7;14693165.44
1591807925807;34.7;52.4;192483328;77.8;11510406.5
1591807927892;34.7;52.0;193282048;77.9;24865773.46
1591807929698;30.075;47.7;188624896;77.8;4457448.87
1591807931488;36.65;56.7;188645376;77.9;38123343.7
1591807933293;28.7;46.5;189009920;77.9;27866062.38
1591807935290;31.95;49.9;190300160;77.9;5232209.39
1591807937093;34.575;54.4;191234048;77.8;13597991.22
1591807938882;32.175;51.3;197636096;77.8;4354089.05
1591807941036;35.65;59.3;205701120;77.9;27013227.93
1591807942858;30.45;48.7;213757952;77.8;9426897.34
1591807944673;29.95;49.9;221081600;77.9;8653997.95
1591807946667;35.9;55.9;229117952;78.0;20614413.0
1591807948449;29.925;46.1;236302336;78.0;10185865.07
1591807950334;37.075;54.6;244531200;78.2;8964550.01
1591807952140;33.675;53.7;206168064;77.7;49396416.35
1591807953942;30.0;49.0;208244736;77.6;1683357.86
1591807955895;39.225;58.7;208408576;77.8;7564366.46
1591807957690;32.6;49.9;209006592;77.8;37771824.35
1591807959508;28.475;49.7;209629184;77.8;1597119.3
1591807961300;34.25;56.6;210681856;78.0;9090067.52
1591807963174;36.725;53.8;212647936;77.9;41164117.19
1591807964935;35.425;54.3;199278592;77.7;1600841.87
1591807966736;31.025;47.6;199938048;77.6;10904951.91
1591807968916;38.6;56.4;199991296;77.8;11571379.01
1591807970754;29.675;44.7;200671232;77.8;6972500.63
1591807972522;35.6;56.2;200912896;77.8;27306938.15
1591807974699;32.1;48.0;201953280;77.8;1606332.68
1591807976542;27.875;43.8;208433152;77.9;6975224.43
1591807978368;34.1;56.3;216612864;78.0;6328514.92
1591807980498;37.825;56.3;224198656;78.1;19234532.4
1591807982323;29.4;45.8;232615936;78.1;11128616.36
1591807984400;31.4;50.9;239951872;78.1;8032969.33
1591807986230;26.325;48.4;247906304;78.2;17016837.41
1591807988051;35.025;56.4;255881216;78.2;2196781.76
1591807990097;37.4;55.5;263606272;78.4;13564151.76
1591807991898;29.95;46.5;271360000;78.3;24625419.75
1591807993817;30.675;48.8;278515712;78.4;14064762.24
1591807995734;38.625;56.6;218898432;77.6;16317941.83
1591807997548;31.125;50.5;221585408;77.6;10432139.57
1591807999355;36.125;52.2;220336128;77.6;20338182.46
1591808001302;31.95;49.8;222703616;77.7;7504081.41
1591808003050;29.2;50.5;222765056;77.8;7004067.52
1591808004833;30.125;45.9;222793728;77.9;23277978.5
1591808006593;30.475;50.3;222830592;77.8;8099861.69
1591808008365;35.725;53.2;224370688;77.9;31609564.01
1591808010145;30.925;49.2;225812480;78.0;10331062.0
1591808011947;39.25;56.7;204763136;77.8;12378358.95
1591808014025;34.775;51.4;204980224;78.0;39291758.24
1591808015927;28.95;43.9;205238272;77.9;18220727.99
1591808017841;32.15;54.4;205938688;77.8;9341572.57
1591808019674;34.625;51.4;205950976;77.9;22472103.69
1591808021473;33.675;53.0;206917632;77.8;8661465.46
1591808023272;36.525;55.6;195887104;77.8;28160809.82
1591808024984;35.675;52.7;197316608;77.8;6683835.18
1591808026817;30.025;47.0;198782976;77.7;24411022.15
1591808028622;31.575;51.6;199233536;77.6;16421139.76
1591808030452;32.6;49.9;199389184;77.6;34875422.81
1591808032272;26.275;46.7;200015872;77.7;16665577.77
1591808034075;36.125;54.4;193744896;77.6;32096176.38
1591808035858;34.775;54.4;193794048;77.5;7787269.95
1591808037782;33.975;52.7;193687552;77.5;8484180.05
1591808039567;35.175;51.3;194035712;77.5;9760121.15
1591808041395;36.3;55.5;189796352;77.7;1387614.44
1591808043145;30.775;48.2;192471040;77.9;15174231.6
1591808045071;33.25;52.1;192638976;77.8;5990373.0
1591808047020;31.9;49.0;192663552;77.8;6470149.63
1591808048883;27.6;48.9;192794624;77.8;13529988.69
1591808050694;37.375;53.8;190971904;77.8;10564486.21
1591808052505;34.275;51.9;190369792;77.7;25906745.16
1591808054388;31.45;53.0;191782912;77.6;5682548.77
1591808056193;32.3;50.6;191885312;77.7;16918335.87
1591808058004;29.325;46.5;192163840;77.6;20153021.78
1591808059788;33.825;52.7;193335296;77.7;5796828.78
1591808061567;34.0;52.5;195510272;77.7;7072114.64
1591808063384;32.025;53.9;195584000;77.7;34735122.01
1591808065258;26.925;48.2;191193088;77.5;12140639.79
1591808067052;34.575;54.0;193159168;77.5;10778373.19
1591808068885;38.25;58.1;193380352;77.6;39754390.8
1591808070689;28.2;51.1;194498560;76.5;7357430.16
1591808072493;33.475;51.1;192999424;76.6;35946149.65
1591808074312;30.175;48.6;193048576;76.6;7299114.07
1591808076378;34.7;54.1;193499136;76.8;4852254.87
1591808078173;33.075;49.2;193974272;76.9;20134209.89
1591808080192;27.85;45.8;194695168;76.8;14339872.16
1591808081966;30.0;46.0;190763008;76.8;22825518.2
1591808083755;34.95;52.3;191369216;76.9;10682341.88
1591808085547;36.95;54.4;191668224;76.9;26407649.78
1591808087631;32.9;60.6;191959040;76.9;4529998.22
1591808089335;26.5;52.4;185040896;76.7;9194024.62
