time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593257302624;36.05;77.9;180563968;77.5;2091289.07
1593257304560;37.925;82.3;183660544;77.7;6557248.8
1593257306424;35.5;78.6;183963648;77.7;7720952.68
1593257308394;39.7;82.8;183271424;77.8;9796673.87
1593257310494;36.575;78.6;182435840;77.8;22147186.68
1593257312431;36.075;78.3;183173120;77.8;31467659.85
1593257314317;37.2;78.7;183836672;77.4;19533502.43
1593257316294;39.275;91.7;184680448;76.3;5837587.66
1593257318339;38.175;82.7;182153216;76.6;23614031.36
1593257320268;33.475;75.2;182845440;76.7;8246177.43
1593257322188;41.25;87.0;183377920;77.0;1036261.68
1593257324099;39.35;83.0;184422400;77.2;44218754.83
1593257326090;35.225;75.6;182808576;77.1;1386313.98
1593257327995;43.25;84.7;182849536;77.2;16151135.31
1593257329920;38.9;79.7;182898688;77.2;2100890.65
1593257332117;36.625;74.1;182956032;77.1;22876441.88
1593257334134;40.5;80.3;187498496;77.0;1612370.46
1593257336075;38.8;83.6;181997568;77.3;9566336.18
1593257338220;34.325;75.0;183480320;77.3;17140899.73
1593257340181;43.175;84.9;184045568;77.3;8137359.04
1593257342011;35.9;78.6;185630720;77.1;12526017.36
1593257343908;38.525;78.9;180940800;77.0;1044603.79
1593257345893;39.975;82.4;182071296;77.3;29169750.72
1593257347834;33.45;72.3;183468032;77.2;8704870.59
1593257349774;37.1;82.5;183906304;77.4;21692729.72
1593257351704;37.5;78.4;184582144;77.5;23484387.42
1593257353638;37.1;80.0;182816768;77.3;22173654.28
1593257355603;39.4;81.3;183033856;77.5;9167381.57
1593257357508;36.875;80.4;183193600;77.4;12032619.73
1593257359531;36.925;76.8;183382016;77.3;2689363.56
1593257361459;41.25;86.0;180543488;77.3;2043165.63
1593257363391;41.15;83.7;182894592;77.5;34507763.93
1593257365356;32.2;82.1;183201792;77.3;1562157.85
1593257367263;39.225;83.3;182611968;77.4;41690816.21
1593257369224;34.0;74.4;184324096;77.3;3481776.54
1593257371340;37.2;76.6;187482112;77.4;1419391.49
1593257373292;41.0;83.2;184799232;77.4;21053893.52
1593257375242;35.8;77.7;185180160;77.4;25448703.17
1593257377193;39.4;81.8;185171968;77.1;17744359.16
1593257379081;41.525;81.3;186310656;77.1;2245775.69
1593257381064;39.975;83.9;179957760;77.2;1372255.92
1593257382855;32.9;77.0;180215808;77.1;2363744.66
1593257384822;40.475;81.1;182587392;77.2;18886804.28
1593257386924;30.55;68.8;182837248;77.1;18257893.95
1593257388852;37.425;79.1;184557568;77.2;1790644.5
1593257390746;40.5;83.6;191811584;77.3;44866429.28
1593257392682;33.45;73.1;198389760;77.2;1779789.51
1593257394692;39.75;82.0;207933440;77.5;22979883.72
1593257396669;35.125;79.0;213753856;77.3;16483479.62
1593257398674;37.4;78.4;192552960;77.1;5490928.88
1593257400640;35.525;78.7;194592768;77.2;28592900.38
1593257402557;33.175;78.0;195186688;77.2;15779871.77
1593257404505;36.4;78.7;195436544;77.1;12208291.59
1593257406448;38.925;83.6;196382720;77.2;1261555.7
1593257408471;41.15;84.9;187609088;77.0;7282458.82
1593257410334;30.875;72.9;189313024;76.9;1850043.41
1593257412277;36.5;82.6;189325312;77.0;1669601.58
1593257414412;33.575;73.1;189640704;77.2;12231050.97
1593257416413;36.325;81.2;190140416;77.1;6788695.74
1593257418360;37.0;82.1;191590400;77.0;36677770.98
1593257420318;32.0;75.6;195346432;77.0;1270939.44
1593257422276;42.0;85.9;203186176;77.2;1675404.06
1593257424203;35.675;76.2;192995328;77.1;28030811.85
1593257426134;33.525;77.3;191909888;77.0;1911340.34
1593257428046;40.45;84.9;194404352;77.1;24378083.2
1593257430006;38.2;81.5;194928640;77.1;14572465.11
1593257431792;35.75;74.8;196358144;77.1;8124431.92
1593257433838;40.075;77.9;186085376;77.1;1874844.11
1593257435768;39.525;82.5;188112896;77.3;41010618.91
1593257437768;36.925;78.4;186556416;77.2;4256408.73
1593257439736;39.075;81.7;187305984;77.5;17044982.23
1593257441666;35.575;77.8;189206528;77.4;34734379.76
1593257443569;33.4;76.6;190894080;77.4;24631782.38
1593257445518;38.4;80.8;186540032;77.2;6900936.32
1593257447445;36.175;82.3;187478016;77.4;6086666.84
1593257449418;33.325;74.7;187830272;77.2;7767667.07
1593257451357;39.6;83.1;189702144;77.2;4914982.33
1593257453322;36.8;82.5;190525440;77.3;10925471.33
1593257455117;36.95;78.4;183943168;77.1;8998382.82
1593257457043;37.0;82.3;182370304;77.0;44272655.34
1593257458964;35.15;72.8;183574528;77.0;6527029.43
1593257460881;38.825;81.1;184958976;77.1;20730145.01
1593257462847;36.325;76.7;185675776;77.1;5880705.9
1593257464844;42.0;85.3;182665216;77.0;3052056.11
1593257466708;35.7;81.6;184823808;77.1;1288991.99
1593257468640;42.55;83.7;185143296;77.2;9665247.2
1593257470546;36.05;82.6;185573376;77.1;6154138.88
1593257472380;33.975;78.1;186265600;77.0;1742102.21
1593257474368;40.55;81.9;182235136;77.0;34415987.63
1593257476333;38.875;80.6;184541184;77.0;1530697.5
1593257478254;38.825;83.1;185311232;77.2;1980459.17
1593257480183;44.3;86.3;184041472;77.1;14722819.36
1593257482256;32.7;72.5;184111104;77.0;2529049.86
1593257484192;41.95;85.7;185462784;77.1;1879359.24
1593257486101;38.125;81.4;186384384;77.2;14986452.16
1593257487961;32.55;76.2;186572800;77.1;24339339.18
1593257489868;36.075;78.4;188465152;77.1;1275947.43
1593257491802;38.3;83.3;188624896;77.3;40471679.72
1593257493817;34.9;76.6;189759488;77.2;1335811.72
1593257495716;41.8;83.9;189018112;77.3;14289753.07
1593257497534;32.325;74.8;189435904;77.2;23539860.49
1593257499449;34.425;79.9;189644800;77.2;17195111.69
1593257501377;37.5;79.2;190574592;77.3;1631081.95
1593257503286;40.175;86.2;191156224;77.3;3896062.02
1593257505073;35.75;75.2;191758336;77.3;1969429.83
1593257507028;39.4;82.7;185888768;77.2;23338447.81
1593257508949;38.0;80.0;183943168;77.4;28259041.48
1593257510858;31.1;73.0;185360384;77.3;9120399.09
1593257512752;35.95;81.9;186675200;77.4;8547568.18
1593257514685;40.525;83.4;183418880;77.3;7764716.49
1593257516729;36.35;77.1;182730752;77.4;23987572.27
1593257518685;32.15;76.4;183922688;77.4;11222922.78
1593257520679;40.725;85.5;184025088;77.2;2955217.48
1593257522518;38.375;81.0;185499648;77.3;1278804.63
1593257524470;38.2;82.2;187461632;77.3;22791738.93
1593257526405;38.3;78.0;186822656;77.2;4192677.44
1593257528310;40.7;82.4;185913344;77.1;30776353.85
1593257530251;36.6;78.9;187920384;77.1;2081546.32
1593257532154;41.6;85.7;188170240;77.4;5141136.12
1593257534187;35.775;79.5;188637184;77.3;2000070.75
