timestamp(ms);elapse-time(ms);tx-load
95232;921;8
95600;855;11
95717;891;11
95823;986;13
95926;960;14
96051;996;16
96204;1060;18
96212;294;9
96297;705;15
96408;699;17
96564;1338;17
96650;608;11
96740;542;12
96820;613;12
96903;611;13
96986;584;13
97070;588;13
97079;181;10
97166;521;13
97265;531;6
97485;926;13
97577;596;11
97677;612;12
97780;706;13
97867;708;13
97951;693;14
98037;654;15
98046;184;10
98129;558;14
98220;550;13
98376;898;11
98452;507;10
98529;497;10
98612;572;11
98690;566;10
98784;570;10
98881;584;10
98893;209;9
99044;597;9
99328;805;11
99526;1155;16
99612;834;13
99703;827;13
99785;899;15
99862;824;15
99942;619;13
100023;618;14
100031;174;11
100117;512;14
100201;502;14
100356;835;12
100468;531;10
100574;556;11
100675;649;12
100780;668;12
100882;688;12
100974;700;13
100982;210;10
101060;600;11
101140;573;10
101300;951;11
101379;505;7
101654;686;12
101742;765;11
101829;774;12
101932;798;11
102045;824;13
102060;236;8
102167;793;14
102270;621;13
102460;1166;16
102565;638;12
102656;620;12
102733;683;13
102812;653;14
102898;634;13
102978;616;14
102987;181;10
103073;513;13
103164;514;14
103332;878;11
103416;525;8
103504;530;10
103586;604;10
103721;654;10
103868;711;12
103986;742;12
103997;286;8
104110;699;12
104224;725;14
104385;1057;13
104492;630;12
104587;610;12
104667;678;13
104749;645;13
104844;626;13
104929;625;14
104939;195;11
105031;545;13
105115;533;13
105327;948;12
105444;606;11
105549;625;12
105680;747;12
105773;747;13
105866;757;14
105946;734;14
105954;187;10
106038;602;14
106118;575;12
106293;972;10
106386;526;6
106470;529;7
106549;600;8
106935;902;12
107059;946;13
107164;957;14
107175;245;6
107279;898;15
107384;921;16
107554;1267;17
107641;588;11
107724;567;12
107806;637;13
107893;620;14
107974;598;14
108056;579;15
108065;177;12
108147;511;15
108232;513;12
108390;841;12
108470;501;8
108582;531;10
108718;659;12
108818;676;12
108915;688;13
109005;697;13
109018;208;8
109114;650;12
109196;622;13
109350;965;12
109446;538;11
109529;528;11
109606;597;11
109682;574;11
109767;576;11
109851;580;10
109860;184;9
109955;515;10
110285;761;8
110503;1159;14
110606;845;11
110701;855;13
110848;994;16
110940;990;17
111027;748;15
111107;707;15
111116;181;10
111206;605;15
111288;596;16
111454;957;12
111547;525;10
111628;527;11
111705;595;11
111784;583;11
111868;586;11
111997;627;11
112008;229;9
112105;564;9
112396;774;8
112605;1157;15
112698;835;11
112826;835;13
112906;906;14
112998;897;15
113086;697;14
113176;677;13
113184;192;10
113274;581;13
113364;543;14
113534;934;12
113619;540;8
113759;590;11
113868;689;12
113968;699;12
114079;720;14
114183;734;13
114193;232;8
114286;673;14
114366;618;13
114516;988;14
114597;526;11
114678;501;11
114762;576;12
114857;576;13
114936;575;14
115013;577;12
115022;171;10
115101;509;13
115184;511;10
115393;880;12
115498;568;11
115602;594;12
115704;688;12
115798;702;13
115885;706;14
115970;711;15
115978;186;10
116059;566;15
116141;543;13
116297;910;13
116381;503;10
116462;497;11
116539;565;12
116619;564;12
116714;578;11
116794;570;12
116803;190;9
116894;518;10
117003;546;5
117193;901;7
117303;611;7
117479;690;7
117610;813;10
117701;813;10
118139;1142;16
118226;1126;16
118237;542;9
118330;1035;16
118417;945;16
118627;1439;23
118739;607;14
118842;621;12
118932;702;14
119022;697;15
119112;700;16
119194;689;17
119203;187;12
119283;550;16
119366;534;13
119535;913;13
119625;518;11
119704;515;11
119784;587;12
119868;591;12
119943;581;11
120029;580;12
120038;176;9
120132;513;12
120261;563;6
120444;917;12
120540;602;11
120647;624;11
120734;702;11
120826;700;10
120908;657;10
120988;635;11
120996;175;10
121086;552;11
121169;530;10
121568;1131;15
121658;754;11
121758;775;11
121878;887;14
121976;897;15
122074;912;16
122175;935;19
122187;217;10
122290;637;16
122370;618;16
122520;958;13
122602;534;11
122684;516;12
122759;578;13
122837;552;13
122915;550;13
122990;544;11
122999;167;10
123079;482;11
123163;485;10
123316;801;9
123619;710;11
123718;732;11
123806;812;13
123933;859;15
124021;864;16
124108;871;18
124117;191;9
124204;592;14
124287;575;15
124440;1130;15
124519;503;11
124599;496;11
124683;572;12
124763;564;12
124837;556;12
124920;555;12
124931;173;9
125017;503;12
125127;534;6
125348;911;13
125461;630;12
125563;648;11
125652;728;13
125731;719;13
125807;690;13
125886;652;14
125895;170;10
125981;525;13
126061;504;14
126232;894;12
126335;532;10
126426;546;11
126507;618;11
126587;612;10
126684;629;11
126797;658;13
126808;227;9
126916;588;12
127056;638;8
127241;1012;15
127328;651;12
127410;620;12
127489;688;14
127569;663;14
127673;621;14
127754;608;14
127762;200;10
127842;520;14
127922;517;15
128070;836;12
128147;478;8
128224;476;10
128302;545;11
128416;579;11
128532;615;10
128643;649;8
128655;245;8
128755;613;7
128850;629;7
129430;1366;16
129522;996;11
129621;985;12
129716;1069;14
129810;1061;15
129909;1065;18
130030;1093;19
130040;237;10
130144;627;14
130240;624;15
130480;1058;15
130559;657;12
130638;614;12
130714;681;14
130791;656;13
130875;642;13
130958;568;13
130966;181;10
131049;496;13
131129;496;14
131291;817;12
131376;506;8
131457;503;10
131559;597;11
131663;620;11
131796;672;11
131906;697;11
131914;257;8
132020;650;10
132104;652;11
132262;976;12
132504;713;12
132598;699;12
132683;774;12
132780;768;12
132866;767;13
132945;764;14
132953;178;9
133049;551;13
133167;574;6
133385;1130;15
133486;626;12
133591;652;12
133684;736;13
133761;716;13
133848;690;14
133927;642;14
133936;180;10
134019;539;14
134098;513;14
134251;873;10
134340;497;7
134434;512;7
134519;589;10
134822;808;13
134951;858;12
135044;872;13
135053;239;7
135150;815;14
135267;846;15
135433;1186;15
135513;569;11
135591;551;12
135674;627;12
135755;611;13
135854;595;13
135936;580;14
135944;195;12
136035;527;13
136124;538;11
136349;922;12
136465;617;11
136595;664;11
